"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 13:28:08 IST 2023","Fri Mar 10 13:28:08 IST 2023","318","","BW-CMS GET Global components verification","","","","Get video components details with valid parameters",""
"passed","Fri Mar 10 13:28:23 IST 2023","Fri Mar 10 13:28:23 IST 2023","346","","BW-CMS GET /Page endpoint verification","","","","Get Page details with invalid parameters value",""
"passed","Fri Mar 10 13:29:15 IST 2023","Fri Mar 10 13:29:17 IST 2023","2519","","BW-CMS Verification test suite","","","","Verify Main Headers",""
"passed","Fri Mar 10 13:28:12 IST 2023","Fri Mar 10 13:28:12 IST 2023","417","","BW-CMS GET /Page Global Settings verification","","","","Get global setting with valid parameters",""
"passed","Fri Mar 10 13:28:17 IST 2023","Fri Mar 10 13:28:17 IST 2023","60","","BW-CMS GET /Menu endpoint verification","","","","Get Main Header with parameter having invalid value",""
"passed","Fri Mar 10 13:30:32 IST 2023","Fri Mar 10 13:32:13 IST 2023","100927","","BW-CMS Verification test suite","","","","Verify Ant Menu List for each header",""
"passed","Fri Mar 10 13:29:07 IST 2023","Fri Mar 10 13:29:15 IST 2023","7660","","BW-CMS Verification test suite","","","","Verify all links from landing page Page",""
"passed","Fri Mar 10 13:29:18 IST 2023","Fri Mar 10 13:29:25 IST 2023","7613","","BW-CMS Verification test suite","","","","Verify all Sub Headers for each main header",""
"passed","Fri Mar 10 13:28:16 IST 2023","Fri Mar 10 13:28:17 IST 2023","436","","BW-CMS GET /Menu endpoint verification","","","","Get Main Header with valid data",""
"passed","Fri Mar 10 13:28:28 IST 2023","Fri Mar 10 13:28:28 IST 2023","329","","BW-CMS GET /Testimonials verification","","","","Get testimonials invalid parameters",""
"passed","Fri Mar 10 13:32:16 IST 2023","Fri Mar 10 13:32:20 IST 2023","4109","","BW-CMS Testimonial Verification test suite","","","","Verify testimonial contents",""
"passed","Fri Mar 10 13:28:07 IST 2023","Fri Mar 10 13:28:07 IST 2023","349","","BW-CMS GET Global components verification","","","","Get right details with valid parameters",""
"passed","Fri Mar 10 13:28:54 IST 2023","Fri Mar 10 13:28:59 IST 2023","5231","","BW-CMS Footer Verification test suite","","","","Verify all Main Footers",""
"passed","Fri Mar 10 13:28:22 IST 2023","Fri Mar 10 13:28:22 IST 2023","441","","BW-CMS GET /Page endpoint verification","","","","Get Service Page with valid parameters",""
"passed","Fri Mar 10 13:28:22 IST 2023","Fri Mar 10 13:28:23 IST 2023","335","","BW-CMS GET /Page endpoint verification","","","","Get Home Page with valid parameters",""
"passed","Fri Mar 10 13:28:06 IST 2023","Fri Mar 10 13:28:06 IST 2023","375","","BW-CMS GET Global components verification","","","","Get Contact us with invalid parameters",""
"passed","Fri Mar 10 13:28:27 IST 2023","Fri Mar 10 13:28:28 IST 2023","460","","BW-CMS GET /Testimonials verification","","","","Get testimonials with valid parameters",""
"passed","Fri Mar 10 13:28:12 IST 2023","Fri Mar 10 13:28:12 IST 2023","344","","BW-CMS GET /Page Global Settings verification","","","","Get global setting invalid parameters",""
"passed","Fri Mar 10 13:28:07 IST 2023","Fri Mar 10 13:28:08 IST 2023","338","","BW-CMS GET Global components verification","","","","Get who_we_are details with valid parameters",""
"passed","Fri Mar 10 13:28:18 IST 2023","Fri Mar 10 13:28:18 IST 2023","52","","BW-CMS GET /Menu endpoint verification","","","","Get Footer bottom with valid parameter and value",""
"passed","Fri Mar 10 13:28:17 IST 2023","Fri Mar 10 13:28:17 IST 2023","74","","BW-CMS GET /Menu endpoint verification","","","","Get Main Header with invalid parameter",""
"passed","Fri Mar 10 13:29:25 IST 2023","Fri Mar 10 13:30:32 IST 2023","66638","","BW-CMS Verification test suite","","","","Verify all Headers Links",""
"passed","Fri Mar 10 13:28:32 IST 2023","Fri Mar 10 13:28:40 IST 2023","8457","","BW-CMS Contact US Verification test suite","","","","Verify Contact US details",""
"passed","Fri Mar 10 13:28:44 IST 2023","Fri Mar 10 13:28:50 IST 2023","5724","","BW-CMS Footer navigation Verification test suite","","","","Verify bottom Footers",""
"passed","Fri Mar 10 13:28:17 IST 2023","Fri Mar 10 13:28:18 IST 2023","1109","","BW-CMS GET /Menu endpoint verification","","","","Get Main Footer with valid values",""
"passed","Fri Mar 10 13:28:04 IST 2023","Fri Mar 10 13:28:06 IST 2023","1896","","BW-CMS GET Global components verification","","","","Get contact us details with valid parameters",""
"passed","Fri Mar 10 13:28:18 IST 2023","Fri Mar 10 13:28:18 IST 2023","63","","BW-CMS GET /Menu endpoint verification","","","","Get Footer Blog and Language with valid parameter and value",""
"passed","Fri Mar 10 13:28:06 IST 2023","Fri Mar 10 13:28:07 IST 2023","377","","BW-CMS GET Global components verification","","","","Get NewsLetter details with valid parameters",""
"passed","Fri Mar 10 13:28:07 IST 2023","Fri Mar 10 13:28:07 IST 2023","344","","BW-CMS GET Global components verification","","","","Get sign_up details with valid parameters",""
"passed","Fri Mar 10 13:28:06 IST 2023","Fri Mar 10 13:28:06 IST 2023","429","","BW-CMS GET Global components verification","","","","Get demo details with valid parameters",""
"passed","Fri Mar 10 13:29:00 IST 2023","Fri Mar 10 13:29:06 IST 2023","5932","","BW-CMS Footer Verification test suite","","","","Verify all Main Footer contents",""
